ツイート本文,ツイート本文_x,時間,media_exist,reply_flg,URLクリック数,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,ハッシュタグクリック,フォローしている,メディアのエンゲージメント数,メディアの再生数,ユーザープロフィールクリック,詳細クリック,返信,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
リュックでお散歩🐶 https://t.co/4OtAvo59YF,リュックでお散歩🐶 ,2021-01-17 09:28:00+00:00,True,False,0.0,216.0,6.0,1885.0,301.0,0.1596816976127321,0.0,0,44,486,17.0,17.0,1.0,10,20210117,2021,1,17,9,6,2
"初めて電車に乗りました😊
不安でここでもお得意のホリホリしてます🐩 https://t.co/8kd8lZ6aem",初めて電車に乗りました😊 不安でここでもお得意のホリホリしてます🐩 ,2021-01-17 07:20:00+00:00,True,False,0.0,141.0,0.0,1310.0,230.0,0.1755725190839694,0.0,0,60,383,22.0,7.0,0.0,34,20210117,2021,1,17,7,6,2
"この手が可愛い🥺💞
お化けみたい笑👻 https://t.co/kcfhsuJhqR",この手が可愛い🥺💞 お化けみたい笑👻 ,2021-01-14 22:48:00+00:00,True,False,1.0,372.0,10.0,3778.0,533.0,0.141079936474325,0.0,0,76,910,45.0,28.0,1.0,19,20210114,2021,1,14,22,3,2
おはようございます☀ https://t.co/kd2DQWIctW,おはようございます☀ ,2021-01-11 01:32:00+00:00,True,False,0.0,215.0,3.0,1652.0,291.0,0.1761501210653753,0.0,0,36,398,22.0,15.0,0.0,11,20210111,2021,1,11,1,0,2
高いところ苦手なみるくですが、意外と落ち着いてリュックで移動できました👏 https://t.co/CzHqlAhk3A,高いところ苦手なみるくですが、意外と落ち着いてリュックで移動できました👏 ,2021-01-09 00:24:00+00:00,True,False,1.0,234.0,2.0,2150.0,358.0,0.1665116279069767,0.0,0,47,580,31.0,41.0,2.0,37,20210109,2021,1,9,0,5,1
初めての雪に大はしゃぎ💞❄☃ https://t.co/MrxFylKrIP,初めての雪に大はしゃぎ💞❄☃ ,2021-01-08 04:05:00+00:00,True,False,0.0,334.0,4.0,2987.0,466.0,0.1560093739537998,0.0,0,51,766,38.0,33.0,6.0,15,20210108,2021,1,8,4,4,1
寒すぎて布団から出れません🥶 https://t.co/n45mukmgJr,寒すぎて布団から出れません🥶 ,2021-01-06 22:54:00+00:00,True,False,2.0,239.0,4.0,2295.0,325.0,0.1416122004357298,0.0,0,33,538,29.0,16.0,2.0,15,20210106,2021,1,6,22,2,1
今日もママの膝の上がお気に入り🐶 https://t.co/EbyEQatwQG,今日もママの膝の上がお気に入り🐶 ,2021-01-05 15:49:00+00:00,True,False,2.0,224.0,4.0,2486.0,339.0,0.1363636363636363,0.0,0,39,520,37.0,33.0,0.0,17,20210105,2021,1,5,15,1,1
"今日のしっぽ観察
「散歩行こっか」 https://t.co/TJIQERd6dQ",今日のしっぽ観察 「散歩行こっか」 ,2021-01-03 06:02:00+00:00,True,False,1.0,234.0,3.0,2475.0,382.0,0.1543434343434343,0.0,0,57,604,34.0,52.0,1.0,18,20210103,2021,1,3,6,6,53
正月早々、白目で寝ているみるく🐶 https://t.co/r18ZlwdGLM,正月早々、白目で寝ているみるく🐶 ,2021-01-02 05:06:00+00:00,True,False,0.0,175.0,2.0,1737.0,301.0,0.1732872769142199,0.0,0,68,408,30.0,26.0,0.0,17,20210102,2021,1,2,5,5,53
"新年明けましておめでとうございます㊗️🎊
今年もよろしくお願いいたします🤲 https://t.co/6GLt0dvjbc",新年明けましておめでとうございます㊗️🎊 今年もよろしくお願いいたします🤲 ,2021-01-01 01:00:00+00:00,True,False,2.0,251.0,5.0,1962.0,361.0,0.1839959225280326,0.0,0,24,481,28.0,46.0,5.0,38,20210101,2021,1,1,1,4,53
"@mashi_melon こちらこそいつもありがとうございます😊
今年も宜しくお願いします！", こちらこそいつもありがとうございます😊 今年も宜しくお願いします,2020-12-31 15:18:00+00:00,False,True,0.0,1.0,0.0,70.0,1.0,0.0142857142857142,0.0,0,0,0,0.0,0.0,0.0,33,20201231,2020,12,31,15,3,53
"今年も終わっちゃう〜🐩

今年はTwitter活動して、たくさんのワンちゃんと出会えた💖🌼

楽しかったわん🐶

大晦日もママの膝で過ごすよ〜🧸 https://t.co/AJBBDtebrm",今年も終わっちゃう〜🐩  今年は活動して、たくさんのワンちゃんと出会えた💖🌼  楽しかったわん🐶  大晦日もママの膝で過ごすよ〜🧸 ,2020-12-31 01:02:00+00:00,True,False,0.0,153.0,2.0,1195.0,215.0,0.1799163179916318,0.0,0,31,31,12.0,16.0,1.0,66,20201231,2020,12,31,1,3,53
https://t.co/O8fCCB2ECG,,2020-12-31 00:54:00+00:00,True,False,1.0,305.0,4.0,3317.0,418.0,0.1260174856798311,0.0,0,57,57,32.0,19.0,0.0,0,20201231,2020,12,31,0,3,53
脚長なんです🦵 https://t.co/jTJYkFyffD,脚長なんです🦵 ,2020-12-28 12:39:00+00:00,True,False,1.0,335.0,6.0,2963.0,490.0,0.1653729328383395,0.0,0,47,671,37.0,60.0,4.0,8,20201228,2020,12,28,12,0,53
どうしてもママにくっついていたい🐶 https://t.co/irWpcpzBv4,どうしてもママにくっついていたい🐶 ,2020-12-28 02:11:00+00:00,True,False,0.0,403.0,6.0,4506.0,672.0,0.1491344873501997,0.0,0,129,1092,43.0,88.0,3.0,18,20201228,2020,12,28,2,0,53
メリークリスマス🎄🎁 https://t.co/vAD1LeaWer,メリークリスマス🎄🎁 ,2020-12-25 11:23:00+00:00,True,False,0.0,267.0,4.0,2316.0,397.0,0.1714162348877374,0.0,0,67,541,35.0,24.0,0.0,11,20201225,2020,12,25,11,4,52
ブブゥ〜💨 https://t.co/igwrols0sW,ブブゥ〜💨 ,2020-12-23 12:24:00+00:00,True,False,0.0,190.0,2.0,1790.0,313.0,0.1748603351955307,0.0,0,55,419,25.0,40.0,1.0,6,20201223,2020,12,23,12,2,52
"@ue260227 おはようございます☀

ありがとうございます😊今日も頑張っていきましょう！", おはようございます☀  ありがとうございます😊今日も頑張っていきましょう,2020-12-21 22:19:00+00:00,False,True,0.0,1.0,0.0,63.0,2.0,0.0317460317460317,0.0,0,0,0,0.0,0.0,1.0,37,20201221,2020,12,21,22,0,52
