ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
"@nao2witter よろしくお願いします😆
いつも全力で遊んでます🤩", よろしくお願いします😆 いつも全力で遊んでます🤩,2021-02-18 13:34:00+00:00,1.0,0.0,40.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,25,20210218,2021,2,18,13,3,7
@53OalNR0CRl0pJJ こちらこそ宜しくお願いします🤲, こちらこそ宜しくお願いします🤲,2021-02-18 13:33:00+00:00,1.0,0.0,25.0,2.0,0.08,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,16,20210218,2021,2,18,13,3,7
前足触られたら負けゲーム https://t.co/XKVNqSfUPe,前足触られたら負けゲーム ,2021-02-18 11:17:00+00:00,218.0,5.0,2447.0,422.0,0.1724560686554965,4.0,36.0,2.0,0.0,52.0,0,595,105,True,False,13,20210218,2021,2,18,11,3,7
"母ちゃんの
帰りを待って
座ってる
ワクワク感が
背中に出てる https://t.co/dyL7Asf2Wn",母ちゃんの 帰りを待って 座ってる ワクワク感が 背中に出てる ,2021-02-17 09:04:00+00:00,172.0,3.0,1741.0,322.0,0.1849511774842044,1.0,24.0,0.0,0.0,33.0,0,446,89,True,False,32,20210217,2021,2,17,9,2,7
ママのぬくもりを感じながら眠りたい🥱 https://t.co/2W4TDbZY1v,ママのぬくもりを感じながら眠りたい🥱 ,2021-02-15 06:56:00+00:00,169.0,2.0,1558.0,259.0,0.1662387676508344,0.0,24.0,2.0,0.0,23.0,0,385,39,True,False,19,20210215,2021,2,15,6,0,7
なんでこっち見てるのに触ってくれないんだ❗️怒 https://t.co/jKiDnHqmOf,なんでこっち見てるのに触ってくれないんだ❗️怒 ,2021-02-14 13:06:00+00:00,147.0,5.0,1581.0,234.0,0.1480075901328273,0.0,16.0,0.0,0.0,11.0,0,379,55,True,False,24,20210214,2021,2,14,13,6,6
まだ眠いです🥱 https://t.co/I8Aiwzi9l8,まだ眠いです🥱 ,2021-02-11 00:58:00+00:00,187.0,3.0,1644.0,269.0,0.163625304136253,1.0,30.0,0.0,0.0,24.0,0,355,24,True,False,8,20210211,2021,2,11,0,3,6
今日はおやつパーティ⭐️ https://t.co/7Lr5bm80I5,今日はおやつパーティ⭐️ ,2021-02-10 14:06:00+00:00,174.0,6.0,1617.0,262.0,0.1620284477427334,2.0,20.0,3.0,0.0,27.0,0,392,30,True,False,13,20210210,2021,2,10,14,2,6
突如始まるステップ https://t.co/cXAjSXAXp0,突如始まるステップ ,2021-02-09 22:09:00+00:00,215.0,6.0,2626.0,351.0,0.1336633663366336,2.0,34.0,0.0,0.0,40.0,0,582,54,True,False,10,20210209,2021,2,9,22,1,6
どうしても顎を置きたい https://t.co/4dPSFQ89rQ,どうしても顎を置きたい ,2021-02-08 23:49:00+00:00,233.0,3.0,2229.0,388.0,0.174069089277703,4.0,43.0,1.0,0.0,45.0,0,545,59,True,False,12,20210208,2021,2,8,23,0,6
犬用おっとっと、うま〜！⭐️ https://t.co/7R1UVOw8YI,犬用おっとっと、うま〜⭐️ ,2021-02-08 09:50:00+00:00,175.0,5.0,1787.0,286.0,0.1600447677672076,3.0,23.0,1.0,0.0,35.0,0,464,44,True,False,14,20210208,2021,2,8,9,0,6
"お菓子くれるなら何でもしますっ🤩

#お風呂上がり
#スピード伏せ https://t.co/I2jC5TGuyI",お菓子くれるなら何でもしますっ🤩  お風呂上がり スピード伏せ ,2021-02-06 06:02:00+00:00,147.0,2.0,1642.0,228.0,0.1388550548112058,1.0,20.0,1.0,0.0,11.0,0,317,46,True,False,32,20210206,2021,2,6,6,5,5
"永遠のぺろぺろタイムが
今晩も始まりました🥺 https://t.co/kIk3ontslJ",永遠のぺろぺろタイムが 今晩も始まりました🥺 ,2021-02-03 13:45:00+00:00,147.0,3.0,1291.0,248.0,0.1920991479473276,3.0,28.0,2.0,0.0,24.0,0,322,41,True,False,23,20210203,2021,2,3,13,2,5
ミーアキャットからの伏せ https://t.co/yFNg039Tn9,ミーアキャットからの伏せ ,2021-02-03 12:36:00+00:00,166.0,6.0,1463.0,249.0,0.1701982228298017,1.0,17.0,2.0,0.0,12.0,0,422,45,True,False,13,20210203,2021,2,3,12,2,5
@chip97857909 病院一度連れて行った時は眼圧のせいかもしれないって言われたんですけど、その時は充血してなかったので、結膜炎が進行したのかもしれません😭, 病院一度連れて行った時は眼圧のせいかもしれないって言われたんですけど、その時は充血してなかったので、結膜炎が進行したのかもしれません😭,2021-02-01 01:12:00+00:00,1.0,0.0,28.0,2.0,0.0714285714285714,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,68,20210201,2021,2,1,1,0,5
"@VtNpRvPfB7peEky 目薬も使ってたのですが、全く効果がなかったのでやめてしまいました😭
やっぱり病院連れて行った方が良さそうですね", 目薬も使ってたのですが、全く効果がなかったのでやめてしまいました😭 やっぱり病院連れて行った方が良さそうですね,2021-02-01 01:11:00+00:00,0.0,0.0,37.0,2.0,0.054054054054054,1.0,0.0,0.0,0.0,1.0,0,0,0,False,True,56,20210201,2021,2,1,1,0,5
@washioemiko 勉強させていただきます😊, 勉強させていただきます😊,2021-02-01 01:10:00+00:00,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,13,20210201,2021,2,1,1,0,5
@VtNpRvPfB7peEky みるくも毎日拭いてるんですけど全然治らないんですよね😂, みるくも毎日拭いてるんですけど全然治らないんですよね😂,2021-01-31 08:16:00+00:00,0.0,0.0,55.0,1.0,0.0181818181818181,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,28,20210131,2021,1,31,8,6,4
@koubu33 鶏肉が涙やけの原因になることもあるんですね。参考になりました！ありがとうございます😊, 鶏肉が涙やけの原因になることもあるんですね。参考になりましたありがとうございます😊,2021-01-31 08:15:00+00:00,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,42,20210131,2021,1,31,8,6,4
@washioemiko フード変えてみます。モグワンが涙やけに良いって聞いたので買ってみます。ありがとうございます😊, フード変えてみます。モグワンが涙やけに良いって聞いたので買ってみます。ありがとうございます😊,2021-01-30 16:02:00+00:00,0.0,0.0,172.0,5.0,0.0290697674418604,1.0,1.0,0.0,0.0,3.0,0,0,0,False,True,47,20210130,2021,1,30,16,5,4
"@chip97857909 乾燥で涙焼けですか。調べてみたら充血してました。結膜炎なのかも。

病院連れて行きます。ありがとうございます😊", 乾燥で涙焼けですか。調べてみたら充血してました。結膜炎なのかも。  病院連れて行きます。ありがとうございます😊,2021-01-30 16:02:00+00:00,1.0,0.0,121.0,2.0,0.0165289256198347,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,56,20210130,2021,1,30,16,5,4
@YFRPq0gxMehU1bp やっぱり病院行った方が良いですよね。ありがとうございます😊, やっぱり病院行った方が良いですよね。ありがとうございます😊,2021-01-30 16:01:00+00:00,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,30,20210130,2021,1,30,16,5,4
